Hashtag, Number of Appearances,Country
#distancelearning,1869,US
#virtuallearning,406,US
#covid19,177,US
#remotelearning,144,US
#zoom,67,US
#edtech,66,US
#teacherappreciationweek,63,US
#edchat,61,US
#teacher,59,US
#coronavirus,56,US
#onlinelearning,56,US
#teacherlife,53,US
#education,53,US
#distanceteaching,51,US
#covid,51,US
#stayhome,50,US
#teachers,47,US
#quarantinelife,47,US
#elearning,47,US
#kindergarten,41,US
__,333,CHN
__,83,CHN
__,31,CHN
__,40,CHN
__,33,CHN
__,28,CHN
___,26,CHN
__,27,CHN
__,29,CHN
__,23,CHN
__,20,CHN
__,17,CHN
__,20,CHN
__,17,CHN
___,14,CHN
__,13,CHN
___,13,CHN
__,11,CHN
__,14,CHN
