,Hashtag,Yes,Country
0,#distancelearning,1869.0,US
1,#virtuallearning,406.0,US
2,#covid19,177.0,US
3,#remotelearning,144.0,US
4,#zoom,67.0,US
5,#edtech,66.0,US
6,#teacherappreciationweek,63.0,US
7,#edchat,61.0,US
8,#teacher,59.0,US
9,#coronavirus,56.0,US
10,#onlinelearning,56.0,US
11,#teacherlife,53.0,US
12,#education,53.0,US
13,#distanceteaching,51.0,US
14,#covid,51.0,US
15,#stayhome,50.0,US
16,#teachers,47.0,US
17,#quarantinelife,47.0,US
18,#elearning,47.0,US
19,#kindergarten,41.0,US
20,课堂,420.0,CHN
21,雨课堂,405.0,CHN
22,开学,86.0,CHN
23,考试,68.0,CHN
24,老师,58.0,CHN
25,微博,53.0,CHN
26,教育观,51.0,CHN
27,学生,51.0,CHN
28,环球,51.0,CHN
29,老师,45.0,CHN
30,疫情,42.0,CHN
31,永吉,42.0,CHN
32,教育,39.0,CHN
33,学校,35.0,CHN
34,网课,32.0,CHN
35,加油,32.0,CHN
36,教学,31.0,CHN
37,实验,30.0,CHN
38,高校,29.0,CHN
39,上课,29.0,CHN
40,老师,26.0,CHN
41,停课,24.0,CHN
42,永吉实验高级中学,22.0,CHN
43,幼儿园,22.0,CHN
44,舞蹈,22.0,CHN
45,高级中学,22.0,CHN
46,吉林,21.0,CHN
47,孩子,21.0,CHN
48,Apple,20.0,CHN
49,学生,20.0,CHN
50,家长,20.0,CHN
51,网课,20.0,CHN
52,电脑,20.0,CHN
53,雨课堂考试,19.0,CHN
54,高考,19.0,CHN
55,超话,19.0,CHN
56,直播,18.0,CHN
57,共同,18.0,CHN
58,上课,18.0,CHN
59,监考,18.0,CHN
60,大学,18.0,CHN
61,教育部,17.0,CHN
62,音乐,17.0,CHN
63,小学,17.0,CHN
64,学院,17.0,CHN
65,北音,17.0,CHN
66,妈妈,16.0,CHN
67,吉林市,16.0,CHN
68,网课,15.0,CHN
69,线上考试,15.0,CHN
70,手机,15.0,CHN
71,复课,15.0,CHN
72,教育局,14.0,CHN
73,范爷,14.0,CHN
74,同学,14.0,CHN
75,课堂,13.0,CHN
76,同学,13.0,CHN
77,长江雨课堂,13.0,CHN
78,长江,12.0,CHN
79,长沙,12.0,CHN
80,作业,12.0,CHN
81,同学,12.0,CHN
82,网络,12.0,CHN
83,北京,12.0,CHN
84,作品,12.0,CHN
85,毕业,12.0,CHN
86,弹幕,11.0,CHN
87,北京现代,11.0,CHN
88,研修,11.0,CHN
89,弹幕,11.0,CHN
90,返校,11.0,CHN
91,运动,11.0,CHN
92,抖音,11.0,CHN
93,网课,10.0,CHN
94,上网课,10.0,CHN
95,微博,10.0,CHN
96,上网,10.0,CHN
97,央视,10.0,CHN
98,网页版,10.0,CHN
99,团委,10.0,CHN
100,上课,10.0,CHN
101,点名,10.0,CHN
102,高三,9.0,CHN
103,训练,9.0,CHN
104,永吉县,9.0,CHN
105,培训,9.0,CHN
106,学校,9.0,CHN
107,考试,9.0,CHN
108,儿童,9.0,CHN
109,孩子,9.0,CHN
110,韩国,9.0,CHN
111,口罩,9.0,CHN
112,毕业生,9.0,CHN
113,微博,9.0,CHN
114,开学,9.0,CHN
115,腾讯,9.0,CHN
116,气死,9.0,CHN
117,模式,9.0,CHN
118,家长,9.0,CHN
119,课程,8.0,CHN
120,美术,8.0,CHN
121,公益,8.0,CHN
122,幼儿,8.0,CHN
123,世界,8.0,CHN
124,跳绳,8.0,CHN
125,上网,8.0,CHN
126,共青团,8.0,CHN
127,开心,8.0,CHN
128,工作室,8.0,CHN
129,共青团中央,8.0,CHN
130,游戏,8.0,CHN
131,摄像头,8.0,CHN
132,民事诉讼,8.0,CHN
133,疫情,8.0,CHN
134,切屏,8.0,CHN
135,加油,8.0,CHN
136,崩溃,8.0,CHN
137,绿洲,8.0,CHN
