Hashtag,Frequency,Country
#distancelearning,1869.0,US
#virtuallearning,406.0,US
#covid19,177.0,US
#remotelearning,144.0,US
#zoom,67.0,US
#edtech,66.0,US
#teacherappreciationweek,63.0,US
#edchat,61.0,US
#teacher,59.0,US
#coronavirus,56.0,US
#onlinelearning,56.0,US
#teacherlife,53.0,US
#education,53.0,US
#distanceteaching,51.0,US
#covid,51.0,US
#stayhome,50.0,US
#teachers,47.0,US
#quarantinelife,47.0,US
#elearning,47.0,US
#kindergarten,41.0,US
课堂,420.0,CHN
雨课堂,405.0,CHN
开学,86.0,CHN
考试,68.0,CHN
老师,58.0,CHN
微博,53.0,CHN
教育观,51.0,CHN
学生,51.0,CHN
环球,51.0,CHN
老师,45.0,CHN
疫情,42.0,CHN
永吉,42.0,CHN
教育,39.0,CHN
学校,35.0,CHN
网课,32.0,CHN
加油,32.0,CHN
教学,31.0,CHN
实验,30.0,CHN
高校,29.0,CHN
上课,29.0,CHN
老师,26.0,CHN
停课,24.0,CHN
永吉实验高级中学,22.0,CHN
幼儿园,22.0,CHN
舞蹈,22.0,CHN
高级中学,22.0,CHN
吉林,21.0,CHN
孩子,21.0,CHN
Apple,20.0,CHN
学生,20.0,CHN
家长,20.0,CHN
网课,20.0,CHN
电脑,20.0,CHN
雨课堂考试,19.0,CHN
高考,19.0,CHN
超话,19.0,CHN
直播,18.0,CHN
共同,18.0,CHN
上课,18.0,CHN
监考,18.0,CHN
大学,18.0,CHN
教育部,17.0,CHN
音乐,17.0,CHN
小学,17.0,CHN
学院,17.0,CHN
北音,17.0,CHN
妈妈,16.0,CHN
吉林市,16.0,CHN
网课,15.0,CHN
线上考试,15.0,CHN
手机,15.0,CHN
复课,15.0,CHN
教育局,14.0,CHN
范爷,14.0,CHN
同学,14.0,CHN
课堂,13.0,CHN
同学,13.0,CHN
长江雨课堂,13.0,CHN
长江,12.0,CHN
长沙,12.0,CHN
作业,12.0,CHN
同学,12.0,CHN
网络,12.0,CHN
北京,12.0,CHN
作品,12.0,CHN
毕业,12.0,CHN
弹幕,11.0,CHN
北京现代,11.0,CHN
研修,11.0,CHN
弹幕,11.0,CHN
返校,11.0,CHN
运动,11.0,CHN
抖音,11.0,CHN
网课,10.0,CHN
上网课,10.0,CHN
微博,10.0,CHN
上网,10.0,CHN
央视,10.0,CHN
网页版,10.0,CHN
团委,10.0,CHN
上课,10.0,CHN
点名,10.0,CHN
高三,9.0,CHN
训练,9.0,CHN
永吉县,9.0,CHN
培训,9.0,CHN
学校,9.0,CHN
考试,9.0,CHN
儿童,9.0,CHN
孩子,9.0,CHN
韩国,9.0,CHN
口罩,9.0,CHN
毕业生,9.0,CHN
微博,9.0,CHN
开学,9.0,CHN
腾讯,9.0,CHN
气死,9.0,CHN
模式,9.0,CHN
家长,9.0,CHN
课程,8.0,CHN
美术,8.0,CHN
公益,8.0,CHN
